Notice Number,Recipient's Name,Notice Type,Issue Date,Local Authority,Main Activity,Time-st
312380473,Nord Chips Products Ltd,Improvement Notice,25/03/2022,North Tyneside,PAINT/VARNISH/MASTIC/SEALANT,2022-05-05 16:15:24.406381+00:00
312380511,Nord Chips Products Ltd,Improvement Notice,25/03/2022,North Tyneside,PAINT/VARNISH/MASTIC/SEALANT,2022-05-05 16:15:24.406381+00:00
312380743,Wildjacks Property Limited,Improvement Notice,25/03/2022,North Kesteven,CONSTRUCTION DOMESTIC BLDGS,2022-05-05 16:15:24.406381+00:00
312382479,Woodsett Homes Limited,Improvement Notice,25/03/2022,Rotherham,DEVELOPMENT BUILDING PROJECTS,2022-05-05 16:15:24.406381+00:00
312382576,Steel Beams Ltd,Improvement Notice,25/03/2022,Havering,MF METAL (PARTIAL) STRUCTURES,2022-05-05 16:15:24.406381+00:00
312382604,Steel Beams Ltd,Improvement Notice,25/03/2022,Havering,MF METAL (PARTIAL) STRUCTURES,2022-05-05 16:15:24.406381+00:00
312382619,Steel Beams Ltd,Improvement Notice,25/03/2022,Havering,MF METAL (PARTIAL) STRUCTURES,2022-05-05 16:15:24.406381+00:00
312382959,Duncan Telfer,Prohibition Notice Immediate,25/03/2022,West Suffolk,INSTALL PLUMB/HEAT/AIR-CON,2022-05-05 16:15:24.406381+00:00
312383078,Nuts In Bulk Limited,Improvement Notice,25/03/2022,Knowsley,GRAIN/TBACCO/SEEDS/ANIMAL FEED,2022-05-05 16:15:24.406381+00:00
312383207,ADL Joinery Ltd,Prohibition Notice Immediate,25/03/2022,Newark & Sherwood,BUILDERS CARPENTRY/JOINERY NEC,2022-05-05 16:15:24.406381+00:00
312384869,Commodore Kitchens Limited,Improvement Notice,25/03/2022,Thurrock UA,SAWMILLING AND PLANING OF WOOD,,,2022-05-05 16:15:25.242052+00:00
312381697,Webflex Ltd,Improvement Notice,22/03/2022,Worcester,PRINTING NOT NEWSPPR/LABEL/TAG,,,2022-05-05 16:15:38.303566+00:00
312385138,Allied Roofing and Construction Limited,Prohibition Notice Immediate,22/03/2022,Manchester,ROOFING ACTIVITIES,,,2022-05-05 16:15:38.303566+00:00
312396030,North Notts Blinds (MFG) Limited,Improvement Notice,22/03/2022,Newark & Sherwood,OTHER MANUFACTURING NEC,,,2022-05-05 16:15:38.303566+00:00
312430478,Milliner Construction Limited,Improvement Notice,22/03/2022,Forest of Dean,DEVELOPMENT BUILDING PROJECTS,,,2022-05-05 16:15:38.303566+00:00
312444917,J & A Plant Limited,Improvement Notice,22/03/2022,Wigan,MF FABRICATED METAL PROD NEC,,,2022-05-05 16:15:38.303566+00:00
312445006,J & A Plant Limited,Improvement Notice,22/03/2022,Wigan,MF FABRICATED METAL PROD NEC,,,2022-05-05 16:15:39.170102+00:00
312366272,S M B Pressings Limited,Improvement Notice,21/03/2022,Cannock Chase,MF FABRICATED METAL PROD NEC,,,2022-05-05 16:15:39.170102+00:00
312366302,S M B Pressings Limited,Improvement Notice,21/03/2022,Cannock Chase,MF FABRICATED METAL PROD NEC,,,2022-05-05 16:15:39.170102+00:00
312366307,Rye Roofing Limited,Improvement Notice,21/03/2022,Sevenoaks,ROOFING ACTIVITIES,,,2022-05-05 16:15:39.170102+00:00
312366322,S M B Pressings Limited,Improvement Notice,21/03/2022,Cannock Chase,MF FABRICATED METAL PROD NEC,,,2022-05-05 16:15:39.170102+00:00
312366630,Goddards Veterinary Group,Improvement Notice,21/03/2022,Mid Sussex,VETERINARY ACTIVITIES,,,2022-05-05 16:15:39.170102+00:00
312367542,Granite Tops (UK) Limited,Improvement Notice,21/03/2022,Preston,CUT/SHAPE/FINISH STONE,,,2022-05-05 16:15:39.170102+00:00
312367588,Greg Pearson,Improvement Notice,21/03/2022,Enfield,SCAFFOLD ERECTION,,,2022-05-05 16:15:39.170102+00:00
312367823,JBMPS Ltd,Improvement Notice,21/03/2022,Leicester UA,MF METAL (PARTIAL) STRUCTURES,,,2022-05-05 16:15:39.170102+00:00
312367850,JBMPS Ltd,Improvement Notice,21/03/2022,Leicester UA,MF METAL (PARTIAL) STRUCTURES,,,2022-05-05 16:15:39.170102+00:00
312367886,JBMPS Ltd,Improvement Notice,21/03/2022,Leicester UA,MF METAL (PARTIAL) STRUCTURES,,,2022-05-05 16:15:40.013806+00:00
312367907,JBMPS Ltd,Improvement Notice,21/03/2022,Leicester UA,MF METAL (PARTIAL) STRUCTURES,,,2022-05-05 16:15:40.013806+00:00
312367927,JBMPS Ltd,Improvement Notice,21/03/2022,Leicester UA,MF METAL (PARTIAL) STRUCTURES,,,2022-05-05 16:15:40.013806+00:00
312367956,JBMPS Ltd,Improvement Notice,21/03/2022,Leicester UA,MF METAL (PARTIAL) STRUCTURES,,,2022-05-05 16:15:40.013806+00:00
312367980,JBMPS Ltd,Improvement Notice,21/03/2022,Leicester UA,MF METAL (PARTIAL) STRUCTURES,,,2022-05-05 16:15:40.013806+00:00
312368615,G W S Precision Sheet Metal Limited,Improvement Notice,21/03/2022,Uttlesford,MF FABRICATED METAL PROD NEC,,,2022-05-05 16:15:40.013806+00:00
312368968,Harbex Metal Processing Limited,Prohibition Notice Immediate,21/03/2022,Swale,MF METAL (PARTIAL) STRUCTURES,,,2022-05-05 16:15:40.013806+00:00
312369013,Harbex Metal Processing Limited,Prohibition Notice Immediate,21/03/2022,Swale,MF METAL (PARTIAL) STRUCTURES,,,2022-05-05 16:15:40.013806+00:00
312369473,Coolkit Limited,Improvement Notice,21/03/2022,Burnley,NON-DOMSTIC COOLNG/VENTILATION,,,2022-05-05 16:15:40.013806+00:00
312369495,Coolkit Limited,Improvement Notice,21/03/2022,Burnley,NON-DOMSTIC COOLNG/VENTILATION,,,2022-05-05 16:15:40.013806+00:00
312369515,Coolkit Limited,Improvement Notice,21/03/2022,Burnley,NON-DOMSTIC COOLNG/VENTILATION,,,2022-05-05 16:15:40.859145+00:00
312369573,Coolkit Limited,Improvement Notice,21/03/2022,Burnley,NON-DOMSTIC COOLNG/VENTILATION,,,2022-05-05 16:15:40.859145+00:00
312372653,Fid Neophitou t/a Empress Builders,Prohibition Notice Immediate,21/03/2022,Islington,CONSTRUCTION OF BUILDINGS,,,2022-05-05 16:15:40.859145+00:00
312373231,Emma Bridgewater Limited,Prohibition Notice Immediate,21/03/2022,Stoke-on-Trent,MF CERAMIC HHOLD/ORNAMENTAL,,,2022-05-05 16:15:40.859145+00:00
312373400,Ability Lifts Limited,Prohibition Notice Immediate,21/03/2022,Stoke-on-Trent,CONSTRUCTION INSTALLATION NEC,,,2022-05-05 16:15:40.859145+00:00
312376624,Victory Engineering Ltd,Improvement Notice,21/03/2022,West Northamptonshire,MACHINING,,,2022-05-05 16:15:40.859145+00:00
312376648,Victory Engineering Ltd,Improvement Notice,21/03/2022,West Northamptonshire,MACHINING,,,2022-05-05 16:15:40.859145+00:00
312377441,Pearce Fine Homes Ltd,Prohibition Notice Immediate,21/03/2022,Cornwall UA,CONSTRUCTION COMMERCIAL BLDGS,,,2022-05-05 16:15:40.859145+00:00
312379574,Robert Joseph Siggins t/a Glass and General,Improvement Notice,21/03/2022,Barking & Dagenham,GLASS & TECHNICAL GLASSWARE,,,2022-05-05 16:15:40.859145+00:00
312380170,THE WOODWORK DUST CONTROL COMPANY LIMITED,Improvement Notice,21/03/2022,Buckinghamshire,MF SPECIAL-PURPOSE M/C NEC,,,2022-05-05 16:15:40.859145+00:00
312380187,THE WOODWORK DUST CONTROL COMPANY LIMITED,Improvement Notice,21/03/2022,Buckinghamshire,MF SPECIAL-PURPOSE M/C NEC,,,2022-05-05 16:15:41.709375+00:00
312380197,THE WOODWORK DUST CONTROL COMPANY LIMITED,Improvement Notice,21/03/2022,Buckinghamshire,MF SPECIAL-PURPOSE M/C NEC,,,2022-05-05 16:15:41.709375+00:00
312380200,THE WOODWORK DUST CONTROL COMPANY LIMITED,Improvement Notice,21/03/2022,Buckinghamshire,MF SPECIAL-PURPOSE M/C NEC,,,2022-05-05 16:15:41.709375+00:00
312382154,Qasim International Limited,Improvement Notice,21/03/2022,Kirklees,MF OF KITCHEN FURNITURE,,,2022-05-05 16:15:41.709375+00:00
312382161,Qasim International Limited,Improvement Notice,21/03/2022,Kirklees,MF OF KITCHEN FURNITURE,,,2022-05-05 16:15:41.709375+00:00
312382164,Qasim International Limited,Improvement Notice,21/03/2022,Kirklees,MF OF KITCHEN FURNITURE,,,2022-05-05 16:15:41.709375+00:00
312382170,Qasim International Limited,Improvement Notice,21/03/2022,Kirklees,MF OF KITCHEN FURNITURE,,,2022-05-05 16:15:41.709375+00:00
312382174,Qasim International Limited,Improvement Notice,21/03/2022,Kirklees,MF OF KITCHEN FURNITURE,,,2022-05-05 16:15:41.709375+00:00
312388824,Bekim Kerolli,Improvement Notice,21/03/2022,Barnet,MVR,,,2022-05-05 16:15:41.709375+00:00
312392720,Well Built Developments Limited,Prohibition Notice Immediate,21/03/2022,Stockport,CONSTRUCTION COMMERCIAL BLDGS,,,2022-05-05 16:15:41.709375+00:00
312395746,Primero Contracts Limited,Prohibition Notice Immediate,21/03/2022,Newcastle-upon-Tyne,JOINERY INSTALLATION,,,2022-05-05 16:15:42.583420+00:00
312432782,1st Mr Clutch Limited,Improvement Notice,21/03/2022,Redbridge,RTL MTR VEHICLE PART/ACCESSORY,,,2022-05-05 16:15:42.583420+00:00
312432803,1st Mr Clutch Limited,Improvement Notice,21/03/2022,Redbridge,RTL MTR VEHICLE PART/ACCESSORY,,,2022-05-05 16:15:42.583420+00:00
312470984,The Panel Factory Limited,Improvement Notice,21/03/2022,Dudley,MANUFACTURE OF OTHER FURNITURE,,,2022-05-05 16:15:42.583420+00:00
312471011,The Panel Factory Limited,Improvement Notice,21/03/2022,Dudley,MANUFACTURE OF OTHER FURNITURE,,,2022-05-05 16:15:42.583420+00:00
312359091,Vidi Construction Ltd,Improvement Notice,18/03/2022,Birmingham,DEVELOPMENT BUILDING PROJECTS,,,2022-05-05 16:15:42.583420+00:00
312359109,Vidi Construction Ltd,Improvement Notice,18/03/2022,Birmingham,DEVELOPMENT BUILDING PROJECTS,,,2022-05-05 16:15:42.583420+00:00
312361072,Wessex Fabrications (Poole) Limited,Improvement Notice,18/03/2022,"Bournemouth, Christchurch and Poole",MF FABRICATED METAL PROD NEC,,,2022-05-05 16:15:42.583420+00:00
312361123,Autohaus (UK) Ltd,Improvement Notice,18/03/2022,Ealing,Unknown,,,2022-05-05 16:15:42.583420+00:00
312361140,Autohaus (UK) Ltd,Improvement Notice,18/03/2022,Ealing,Unknown,,,2022-05-05 16:15:42.583420+00:00
312361561,Hawksmoor Construction Ltd,Improvement Notice,18/03/2022,Barnet,BUSINESS SUPPORT SERVICE NEC,,,2022-05-05 16:15:43.439655+00:00
312362847,Elite Spiral Stairs Ltd,Improvement Notice,18/03/2022,Stratford-on-Avon,MF FABRICATED METAL PROD NEC,,,2022-05-05 16:15:43.439655+00:00
312362947,Elite Spiral Stairs Ltd,Improvement Notice,18/03/2022,Stratford-on-Avon,MF FABRICATED METAL PROD NEC,,,2022-05-05 16:15:43.439655+00:00
312362954,Magnum Fabrications Ltd,Improvement Notice,18/03/2022,South Holland,MACHINING,,,2022-05-05 16:15:43.439655+00:00
312362958,Elite Spiral Stairs Ltd,Improvement Notice,18/03/2022,Stratford-on-Avon,MF FABRICATED METAL PROD NEC,,,2022-05-05 16:15:43.439655+00:00
312362994,Magnum Fabrications Ltd,Improvement Notice,18/03/2022,South Holland,MACHINING,,,2022-05-05 16:15:43.439655+00:00
312363703,Honeyrose Products Limited,Improvement Notice,18/03/2022,Ipswich,OTHER MANUFACTURING NEC,,,2022-05-05 16:15:43.439655+00:00
312363743,Marcrist International Limited,Improvement Notice,18/03/2022,Doncaster,PRODUCTION ABRASIVE PRODUCTS,,,2022-05-05 16:15:43.439655+00:00
312364050,Grannell Steel Limited,Improvement Notice,18/03/2022,Barking & Dagenham,COLD DRAWING OF WIRE,,,2022-05-05 16:15:43.439655+00:00
312364123,Grannell Steel Limited,Improvement Notice,18/03/2022,Barking & Dagenham,COLD DRAWING OF WIRE,,,2022-05-05 16:15:43.439655+00:00
312364154,Grannell Steel Limited,Improvement Notice,18/03/2022,Barking & Dagenham,COLD DRAWING OF WIRE,,,2022-05-05 16:15:44.307566+00:00
312364193,Grannell Steel Limited,Improvement Notice,18/03/2022,Barking & Dagenham,COLD DRAWING OF WIRE,,,2022-05-05 16:15:44.307566+00:00
312364381,KJE Engineering Ltd,Improvement Notice,18/03/2022,Cheltenham,ENGINEERING ACTIVITIES NEC,,,2022-05-05 16:15:44.307566+00:00
312364464,KJE Engineering Ltd,Improvement Notice,18/03/2022,Cheltenham,ENGINEERING ACTIVITIES NEC,,,2022-05-05 16:15:44.307566+00:00
312364475,KJE Engineering Ltd,Improvement Notice,18/03/2022,Cheltenham,ENGINEERING ACTIVITIES NEC,,,2022-05-05 16:15:44.307566+00:00
312364485,KJE Engineering Ltd,Improvement Notice,18/03/2022,Cheltenham,ENGINEERING ACTIVITIES NEC,,,2022-05-05 16:15:44.307566+00:00
312364683,Senior and Dickson Limited,Improvement Notice,18/03/2022,Doncaster,MACHINING,,,2022-05-05 16:15:44.307566+00:00
312364735,Senior and Dickson Limited,Improvement Notice,18/03/2022,Doncaster,MACHINING,,,2022-05-05 16:15:44.307566+00:00
312366041,Quickskip Hereford Limited,Improvement Notice,18/03/2022,Herefordshire UA,COLLECTION NON-HAZARDOUS WASTE,,,2022-05-05 16:15:44.307566+00:00
312368270,CETO Engineering Ltd,Improvement Notice,18/03/2022,Huntingdon,MF METAL (PARTIAL) STRUCTURES,,,2022-05-05 16:15:44.307566+00:00
312369414,BDS (Site-Prep) Limited,Prohibition Notice Immediate,18/03/2022,Leeds,SITE PREPARATION,,,2022-05-05 16:15:45.298728+00:00
312370652,Saleh Hussein,Prohibition Notice Immediate,18/03/2022,Sheffield,LET/OPERATION REAL ESTATE NEX,,,2022-05-05 16:15:45.298728+00:00
312371497,Hoist & Co Fencing & Timber Supplies Ltd,Prohibition Notice Immediate,18/03/2022,Gravesham,OTHER MANUFACTURING NEC,,,2022-05-05 16:15:45.298728+00:00
312371704,Gecko Metal Works Ltd,Improvement Notice,18/03/2022,Eastleigh,MF FABRICATED METAL PROD NEC,,,2022-05-05 16:15:45.298728+00:00
312371721,Gecko Metal Works Ltd,Improvement Notice,18/03/2022,Eastleigh,MF FABRICATED METAL PROD NEC,,,2022-05-05 16:15:45.298728+00:00
312372725,Sureweld Fabrications (Bournemouth) Limited,Improvement Notice,18/03/2022,"Bournemouth, Christchurch and Poole",MF FABRICATED METAL PROD NEC,,,2022-05-05 16:15:45.298728+00:00
312373524,Peter Balrncy,Prohibition Notice Immediate,18/03/2022,Tameside,ROOFING ACTIVITIES,,,2022-05-05 16:15:45.298728+00:00
312377344,HQ / Aqua-Marine Services Ltd,Improvement Notice,18/03/2022,Southampton UA,REPAIR/MAINTENANCE SHIPS/BOATS,,,2022-05-05 16:15:45.298728+00:00
312377406,HQ / Aqua-Marine Services Ltd,Improvement Notice,18/03/2022,Southampton UA,REPAIR/MAINTENANCE SHIPS/BOATS,,,2022-05-05 16:15:45.298728+00:00
312393067,Taurus Eng. Ltd,Improvement Notice,18/03/2022,South Tyneside,MF FABRICATED METAL PROD NEC,,,2022-05-05 16:15:45.298728+00:00
312393129,Taurus Eng. Ltd,Improvement Notice,18/03/2022,South Tyneside,MF FABRICATED METAL PROD NEC,,,2022-05-05 16:15:46.121374+00:00
312393147,Taurus Eng. Ltd,Improvement Notice,18/03/2022,South Tyneside,MF FABRICATED METAL PROD NEC,,,2022-05-05 16:15:46.121374+00:00
312394420,Windmill Services Ltd,Prohibition Notice Immediate,18/03/2022,West Lancashire,BUSINESS SUPPORT SERVICE NEC,,,2022-05-05 16:15:46.121374+00:00
312396597,Southview Joinery Limited,Prohibition Notice Immediate,18/03/2022,Rother,SPECIALISED CONST NOT SCAFFOLD,,,2022-05-05 16:15:46.121374+00:00
312414991,Kidbys Limited,Improvement Notice,18/03/2022,South Oxfordshire,OTHER MANUFACTURING NEC,,,2022-05-05 16:15:46.121374+00:00
312415007,Kidbys Limited,Improvement Notice,18/03/2022,South Oxfordshire,OTHER MANUFACTURING NEC,,,2022-05-05 16:15:46.121374+00:00
312415015,Harland Builders Limited,Prohibition Notice Immediate,18/03/2022,Ryedale,DEVELOPMENT BUILDING PROJECTS,,,2022-05-05 16:15:46.121374+00:00
312416569,Car Bodyline Limited,Improvement Notice,18/03/2022,Enfield,MVR,,,2022-05-05 16:15:46.121374+00:00
312419736,Alan Smith,Improvement Notice,18/03/2022,Gloucester,MIXED FARMING,,,2022-05-05 16:15:46.121374+00:00
312419923,Anne Smith,Improvement Notice,18/03/2022,Gloucester,MIXED FARMING,,,2022-05-05 16:15:46.121374+00:00
